N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002596,48.0,32.0,2.243130683898926,1,1.0,2.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,48.0,32.0,3.214185237884521,1,1.0,2.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,48.0,32.0,3.1477925777435303,1,1.0,2.0,1e-05,1e-09
3,1,0.1035583765792172,0.1239327718093986,39.0,35.0,1.9161360263824463,1,1.0,2.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.1008455753326416,1,1.0,2.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.0918750762939453,1,1.0,2.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.260071039199829,1,1.0,2.0,1e-05,1e-07
3,1,0.1035583765792172,0.1239327718093986,38.0,36.0,2.360328197479248,1,1.0,2.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.745363712310791,1,1.0,2.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.1762709617614746,1,1.0,2.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,47.0,37.0,2.1271002292633057,1,1.0,2.0,1e-05,1e-05
3,1,0.1035583765792172,0.1239327718093986,38.0,36.0,2.0759477615356445,1,1.0,2.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,48.0,41.0,2.1363885402679443,1,1.0,2.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,48.0,41.0,2.2515454292297363,1,1.0,2.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,48.0,41.0,3.087709903717041,1,1.0,2.0,1e-05,0.01
3,1,0.103558376578837,0.1239327718093986,36.0,39.0,2.058612585067749,1,1.0,2.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,54.0,36.0,2.2067201137542725,1,1.0,3.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,54.0,36.0,2.2860329151153564,1,1.0,3.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,54.0,36.0,2.232548236846924,1,1.0,3.0,1e-05,1e-09
